template_id,template,count,percentage
10,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> get a error [Errno 2] No such file or directory: 'resources/source file/source file.csv',16152,0.11986644598139799
13,<:TIME:> <:*:> <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,10720,0.07955474869493478
40,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:HOST:>' ([Errno 111] Connection refused)"")(Background on this error at: <:IP:>",10184,0.07557701126018804
27,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> {trace id} password in database of {user} is null, the user is not registered",8335,0.06185530134069789
30,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.OperationalError) (1054, ""Unknown column 'system data time' in 'field list'"")[SQL: select service name, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from `metric table 2021-05`](Background on this error at: <:IP:>",6611,0.04906123541251994
25,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise micross.system metric datas' doesn't exist"")[SQL: select service names, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from system metric datas](Background on this error at: <:IP:>",6586,0.048875706614257504
29,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> token generate success <:*:>,6558,0.04866791436020357
21,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,4644,0.03446382956523107
36,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> service refuse,4195,0.03113173234843763
44,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> uuid:<:UID:> information has expired, mobile phone login is invalid",2642,0.01960668340037478
19,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> redis write success,2061,0.015294994128755651
33,<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.OperationalError) <:FIX MESSAGE:>(Background on this error at: <:IP:>,819,0.006077923431077573
31,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.OperationalError) (1054, ""Unknown column 'system data time' in 'field list'"")[SQL: select service name, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from `metric table 2021-05`](Background on this error at: <:IP:>",814,0.006040817671425084
32,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise micross.system metric datas' doesn't exist"")[SQL: select service names, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from system metric datas](Background on this error at: <:IP:>",809,0.006003711911772597
9,<:TIME:> <:*:> <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,629,0.00466790456428302
34,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> query = select passwards from username table where user <:*:>,393,0.002916512708685575
7,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> unknown error occurred, status code == 200, message:{'message': 'redis write success, keys=<:UID:>, value=', 'status code': 200}",350,0.0025974031756741765
38,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: <:IP:>",301,0.0022337667310797916
8,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,225,0.0016697591843619706
37,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.OperationalError) <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> on this error at: <:IP:>,19,0.0001410018866794553
35,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:UID:>-ydDVPRrH-K>1}?T{ &NHS token generate success <:TOKEN:>-MX0 <:*:>,11,8.163267123547411e-05
41,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:HOST:>' ([Errno 111] Connection refused)"")(Background on this error at: <:IP:>",8,5.936921544398117e-05
42,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> cedd958df88ac8b1 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,8,5.936921544398117e-05
47,<:TIME:> WARNING <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired,7,5.1948063513483526e-05
39,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: <:IP:>",6,4.452691158298588e-05
46,<:TIME:> WARNING <:HOST:> <:HOST:> <:POD:> <:*:> wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired,5,3.710575965248824e-05
12,<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> get a error [Errno 2] No such file or directory: 'resources/source file/source file.csv',3,2.226345579149294e-05
15,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> call the url <:IP:> and param {'uuid': '<:UID:>'} error --HTTPConnectionPool(host='<:HOST:>', port=9384): Max retries exceeded with url: /login query redis info?uuid=<:UID:> (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at <:*:> Failed to establish a new connection: [Errno 111] Connection refused'))",2,1.4842303860995293e-05
43,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> 41665ae8ee47ea1c call the url <:IP:> and param {'uuid': '<:UID:>'} error --('Connection aborted.', ConnectionResetError<:FIX MESSAGE:>)",1,7.421151930497646e-06
48,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> {traci id} uuid expired, invalid phone request",1,7.421151930497646e-06
